metric,raw_vs_gt,filtered_vs_gt,improvement
precision,0.9773764926246781,0.9782251560679829,0.000848663443304809
recall,0.5337137012353966,0.5234054114525899,-0.010308289782806734
f1,0.6904144140419066,0.6819364914107235,-0.008477922631183077
iou,0.5272006819904016,0.5173775671406003,-0.009823114849801251
accuracy,0.5402081798084009,0.5309813313682142,-0.009226848440186619
kappa,0.03682423541831534,0.03715081265393127,0.00032657723561593105
tp,33395.0,32750.0,
fp,773.0,729.0,
fn,29176.0,29821.0,
tn,1792.0,1836.0,
